grid_id,grid_size,complexity,instance_id,total_cells,errors,error_rate,multi_optimal_cells
grid_size15_complexity0.00_0005_ReflectEnv,15,0.0,5,168,0,0.0,144
grid_size15_complexity0.00_0005_RotateEnv,15,0.0,5,168,0,0.0,144
grid_size15_complexity0.00_0005_StartGoalSwap,15,0.0,5,168,0,0.0,144
grid_size15_complexity0.00_0005_TransposeEnv,15,0.0,5,168,0,0.0,144
grid_size15_complexity0.00_0006_ReflectEnv,15,0.0,6,168,0,0.0,144
grid_size15_complexity0.00_0006_RotateEnv,15,0.0,6,168,0,0.0,144
grid_size15_complexity0.00_0006_StartGoalSwap,15,0.0,6,168,0,0.0,144
grid_size15_complexity0.00_0006_TransposeEnv,15,0.0,6,168,0,0.0,144
grid_size15_complexity0.00_0007_ReflectEnv,15,0.0,7,168,0,0.0,144
grid_size15_complexity0.00_0007_RotateEnv,15,0.0,7,168,0,0.0,144
grid_size15_complexity0.00_0007_StartGoalSwap,15,0.0,7,168,0,0.0,144
grid_size15_complexity0.00_0007_TransposeEnv,15,0.0,7,168,0,0.0,144
grid_size15_complexity0.00_0008_ReflectEnv,15,0.0,8,168,0,0.0,144
grid_size15_complexity0.00_0008_RotateEnv,15,0.0,8,168,5,0.02976190476190476,144
grid_size15_complexity0.00_0008_StartGoalSwap,15,0.0,8,168,0,0.0,144
grid_size15_complexity0.00_0008_TransposeEnv,15,0.0,8,168,0,0.0,144
grid_size15_complexity0.00_0009_ReflectEnv,15,0.0,9,168,0,0.0,144
grid_size15_complexity0.00_0009_RotateEnv,15,0.0,9,168,0,0.0,144
grid_size15_complexity0.00_0009_StartGoalSwap,15,0.0,9,168,0,0.0,144
grid_size15_complexity0.00_0009_TransposeEnv,15,0.0,9,168,0,0.0,144
grid_size15_complexity0.20_0000_ReflectEnv,15,0.2,0,153,13,0.08496732026143791,104
grid_size15_complexity0.20_0000_RotateEnv,15,0.2,0,153,7,0.0457516339869281,104
grid_size15_complexity0.20_0000_StartGoalSwap,15,0.2,0,153,13,0.08496732026143791,104
grid_size15_complexity0.20_0000_TransposeEnv,15,0.2,0,153,24,0.1568627450980392,104
grid_size15_complexity0.20_0001_ReflectEnv,15,0.2,1,153,8,0.05228758169934641,96
grid_size15_complexity0.20_0001_RotateEnv,15,0.2,1,153,14,0.0915032679738562,96
grid_size15_complexity0.20_0001_StartGoalSwap,15,0.2,1,153,9,0.058823529411764705,101
grid_size15_complexity0.20_0001_TransposeEnv,15,0.2,1,153,13,0.08496732026143791,96
grid_size15_complexity0.20_0002_ReflectEnv,15,0.2,2,153,14,0.0915032679738562,99
grid_size15_complexity0.20_0002_RotateEnv,15,0.2,2,153,8,0.05228758169934641,99
grid_size15_complexity0.20_0002_StartGoalSwap,15,0.2,2,153,10,0.06535947712418301,96
grid_size15_complexity0.20_0002_TransposeEnv,15,0.2,2,153,4,0.026143790849673203,99
grid_size15_complexity0.20_0003_ReflectEnv,15,0.2,3,153,11,0.0718954248366013,104
grid_size15_complexity0.20_0003_RotateEnv,15,0.2,3,153,3,0.0196078431372549,104
grid_size15_complexity0.20_0003_StartGoalSwap,15,0.2,3,153,10,0.06535947712418301,100
grid_size15_complexity0.20_0003_TransposeEnv,15,0.2,3,153,12,0.0784313725490196,104
grid_size15_complexity0.20_0004_ReflectEnv,15,0.2,4,153,7,0.0457516339869281,99
grid_size15_complexity0.20_0004_RotateEnv,15,0.2,4,153,11,0.0718954248366013,99
grid_size15_complexity0.20_0004_StartGoalSwap,15,0.2,4,153,8,0.05228758169934641,96
grid_size15_complexity0.20_0004_TransposeEnv,15,0.2,4,153,9,0.058823529411764705,99
grid_size15_complexity0.20_0005_ReflectEnv,15,0.2,5,153,9,0.058823529411764705,101
grid_size15_complexity0.20_0005_RotateEnv,15,0.2,5,153,9,0.058823529411764705,101
grid_size15_complexity0.20_0005_StartGoalSwap,15,0.2,5,153,17,0.1111111111111111,98
grid_size15_complexity0.20_0005_TransposeEnv,15,0.2,5,153,7,0.0457516339869281,101
grid_size15_complexity0.20_0006_ReflectEnv,15,0.2,6,153,20,0.13071895424836602,100
grid_size15_complexity0.20_0006_RotateEnv,15,0.2,6,153,18,0.11764705882352941,100
grid_size15_complexity0.20_0006_StartGoalSwap,15,0.2,6,153,6,0.0392156862745098,102
grid_size15_complexity0.20_0006_TransposeEnv,15,0.2,6,153,6,0.0392156862745098,100
grid_size15_complexity0.20_0007_ReflectEnv,15,0.2,7,153,6,0.0392156862745098,97
grid_size15_complexity0.20_0007_RotateEnv,15,0.2,7,153,27,0.17647058823529413,97
