grid_id,grid_size,complexity,instance_id,total_cells,errors,error_rate,multi_optimal_cells
grid_size11_complexity1.00_0000_ReflectEnv,11,1.0,0,48,13,0.2708333333333333,0
grid_size11_complexity1.00_0000_RotateEnv,11,1.0,0,48,11,0.22916666666666666,0
grid_size11_complexity1.00_0000_StartGoalSwap,11,1.0,0,48,5,0.10416666666666667,0
grid_size11_complexity1.00_0000_TransposeEnv,11,1.0,0,48,12,0.25,0
grid_size11_complexity1.00_0001_ReflectEnv,11,1.0,1,48,12,0.25,0
grid_size11_complexity1.00_0001_RotateEnv,11,1.0,1,48,7,0.14583333333333334,0
grid_size11_complexity1.00_0001_StartGoalSwap,11,1.0,1,48,8,0.16666666666666666,0
grid_size11_complexity1.00_0001_TransposeEnv,11,1.0,1,48,12,0.25,0
grid_size11_complexity1.00_0002_ReflectEnv,11,1.0,2,48,9,0.1875,0
grid_size11_complexity1.00_0002_RotateEnv,11,1.0,2,48,13,0.2708333333333333,0
grid_size11_complexity1.00_0002_StartGoalSwap,11,1.0,2,48,5,0.10416666666666667,0
grid_size11_complexity1.00_0002_TransposeEnv,11,1.0,2,48,12,0.25,0
grid_size11_complexity1.00_0003_ReflectEnv,11,1.0,3,48,10,0.20833333333333334,0
grid_size11_complexity1.00_0003_RotateEnv,11,1.0,3,48,9,0.1875,0
grid_size11_complexity1.00_0003_StartGoalSwap,11,1.0,3,48,14,0.2916666666666667,0
grid_size11_complexity1.00_0003_TransposeEnv,11,1.0,3,48,6,0.125,0
grid_size11_complexity1.00_0004_ReflectEnv,11,1.0,4,48,7,0.14583333333333334,0
grid_size11_complexity1.00_0004_RotateEnv,11,1.0,4,48,13,0.2708333333333333,0
grid_size11_complexity1.00_0004_StartGoalSwap,11,1.0,4,48,6,0.125,0
grid_size11_complexity1.00_0004_TransposeEnv,11,1.0,4,48,11,0.22916666666666666,0
grid_size11_complexity1.00_0005_ReflectEnv,11,1.0,5,48,15,0.3125,0
grid_size11_complexity1.00_0005_RotateEnv,11,1.0,5,48,9,0.1875,0
grid_size11_complexity1.00_0005_StartGoalSwap,11,1.0,5,48,14,0.2916666666666667,0
grid_size11_complexity1.00_0005_TransposeEnv,11,1.0,5,48,16,0.3333333333333333,0
grid_size11_complexity1.00_0006_ReflectEnv,11,1.0,6,48,11,0.22916666666666666,0
grid_size11_complexity1.00_0006_RotateEnv,11,1.0,6,48,4,0.08333333333333333,0
grid_size11_complexity1.00_0006_StartGoalSwap,11,1.0,6,48,10,0.20833333333333334,0
grid_size11_complexity1.00_0006_TransposeEnv,11,1.0,6,48,9,0.1875,0
grid_size11_complexity1.00_0007_ReflectEnv,11,1.0,7,48,12,0.25,0
grid_size11_complexity1.00_0007_RotateEnv,11,1.0,7,48,7,0.14583333333333334,0
grid_size11_complexity1.00_0007_StartGoalSwap,11,1.0,7,48,2,0.041666666666666664,0
grid_size11_complexity1.00_0007_TransposeEnv,11,1.0,7,48,11,0.22916666666666666,0
grid_size11_complexity1.00_0008_ReflectEnv,11,1.0,8,48,17,0.3541666666666667,0
grid_size11_complexity1.00_0008_RotateEnv,11,1.0,8,48,9,0.1875,0
grid_size11_complexity1.00_0008_StartGoalSwap,11,1.0,8,48,7,0.14583333333333334,0
grid_size11_complexity1.00_0008_TransposeEnv,11,1.0,8,48,10,0.20833333333333334,0
grid_size11_complexity1.00_0009_ReflectEnv,11,1.0,9,48,15,0.3125,0
grid_size11_complexity1.00_0009_RotateEnv,11,1.0,9,48,9,0.1875,0
grid_size11_complexity1.00_0009_StartGoalSwap,11,1.0,9,48,10,0.20833333333333334,0
grid_size11_complexity1.00_0009_TransposeEnv,11,1.0,9,48,12,0.25,0
grid_size13_complexity0.00_0000_ReflectEnv,13,0.0,0,120,0,0.0,100
grid_size13_complexity0.00_0000_RotateEnv,13,0.0,0,120,0,0.0,100
grid_size13_complexity0.00_0000_StartGoalSwap,13,0.0,0,120,0,0.0,100
grid_size13_complexity0.00_0000_TransposeEnv,13,0.0,0,120,1,0.008333333333333333,100
grid_size13_complexity0.00_0001_ReflectEnv,13,0.0,1,120,1,0.008333333333333333,100
grid_size13_complexity0.00_0001_RotateEnv,13,0.0,1,120,0,0.0,100
grid_size13_complexity0.00_0001_StartGoalSwap,13,0.0,1,120,0,0.0,100
grid_size13_complexity0.00_0001_TransposeEnv,13,0.0,1,120,0,0.0,100
grid_size13_complexity0.00_0002_ReflectEnv,13,0.0,2,120,0,0.0,100
grid_size13_complexity0.00_0002_RotateEnv,13,0.0,2,120,0,0.0,100
