grid_id,grid_size,complexity,instance_id,total_cells,errors,error_rate,multi_optimal_cells
grid_size7_complexity0.40_0000_ReflectEnv,7,0.4,0,20,0,0.0,6
grid_size7_complexity0.40_0000_RotateEnv,7,0.4,0,20,1,0.05,6
grid_size7_complexity0.40_0000_StartGoalSwap,7,0.4,0,20,2,0.1,6
grid_size7_complexity0.40_0000_TransposeEnv,7,0.4,0,20,0,0.0,6
grid_size7_complexity0.40_0001_ReflectEnv,7,0.4,1,20,0,0.0,8
grid_size7_complexity0.40_0001_RotateEnv,7,0.4,1,20,0,0.0,8
grid_size7_complexity0.40_0001_StartGoalSwap,7,0.4,1,20,0,0.0,8
grid_size7_complexity0.40_0001_TransposeEnv,7,0.4,1,20,0,0.0,8
grid_size7_complexity0.40_0002_ReflectEnv,7,0.4,2,20,0,0.0,7
grid_size7_complexity0.40_0002_RotateEnv,7,0.4,2,20,0,0.0,7
grid_size7_complexity0.40_0002_StartGoalSwap,7,0.4,2,20,2,0.1,7
grid_size7_complexity0.40_0002_TransposeEnv,7,0.4,2,20,1,0.05,7
grid_size7_complexity0.40_0003_ReflectEnv,7,0.4,3,20,0,0.0,7
grid_size7_complexity0.40_0003_RotateEnv,7,0.4,3,20,0,0.0,7
grid_size7_complexity0.40_0003_StartGoalSwap,7,0.4,3,20,1,0.05,7
grid_size7_complexity0.40_0003_TransposeEnv,7,0.4,3,20,0,0.0,7
grid_size7_complexity0.40_0004_ReflectEnv,7,0.4,4,20,0,0.0,7
grid_size7_complexity0.40_0004_RotateEnv,7,0.4,4,20,1,0.05,7
grid_size7_complexity0.40_0004_StartGoalSwap,7,0.4,4,20,0,0.0,7
grid_size7_complexity0.40_0004_TransposeEnv,7,0.4,4,20,0,0.0,7
grid_size7_complexity0.40_0005_ReflectEnv,7,0.4,5,20,0,0.0,5
grid_size7_complexity0.40_0005_RotateEnv,7,0.4,5,20,1,0.05,5
grid_size7_complexity0.40_0005_StartGoalSwap,7,0.4,5,20,1,0.05,5
grid_size7_complexity0.40_0005_TransposeEnv,7,0.4,5,20,2,0.1,5
grid_size7_complexity0.40_0006_ReflectEnv,7,0.4,6,20,2,0.1,5
grid_size7_complexity0.40_0006_RotateEnv,7,0.4,6,20,1,0.05,5
grid_size7_complexity0.40_0006_StartGoalSwap,7,0.4,6,20,1,0.05,6
grid_size7_complexity0.40_0006_TransposeEnv,7,0.4,6,20,1,0.05,5
grid_size7_complexity0.40_0007_ReflectEnv,7,0.4,7,20,2,0.1,6
grid_size7_complexity0.40_0007_RotateEnv,7,0.4,7,20,1,0.05,6
grid_size7_complexity0.40_0007_StartGoalSwap,7,0.4,7,20,1,0.05,6
grid_size7_complexity0.40_0007_TransposeEnv,7,0.4,7,20,1,0.05,6
grid_size7_complexity0.40_0008_ReflectEnv,7,0.4,8,20,0,0.0,6
grid_size7_complexity0.40_0008_RotateEnv,7,0.4,8,20,1,0.05,6
grid_size7_complexity0.40_0008_StartGoalSwap,7,0.4,8,20,2,0.1,6
grid_size7_complexity0.40_0008_TransposeEnv,7,0.4,8,20,1,0.05,6
grid_size7_complexity0.40_0009_ReflectEnv,7,0.4,9,20,1,0.05,6
grid_size7_complexity0.40_0009_RotateEnv,7,0.4,9,20,0,0.0,6
grid_size7_complexity0.40_0009_StartGoalSwap,7,0.4,9,20,0,0.0,6
grid_size7_complexity0.40_0009_TransposeEnv,7,0.4,9,20,0,0.0,6
grid_size7_complexity0.60_0000_ReflectEnv,7,0.6,0,19,1,0.05263157894736842,4
grid_size7_complexity0.60_0000_RotateEnv,7,0.6,0,19,1,0.05263157894736842,4
grid_size7_complexity0.60_0000_StartGoalSwap,7,0.6,0,19,1,0.05263157894736842,4
grid_size7_complexity0.60_0000_TransposeEnv,7,0.6,0,19,0,0.0,4
grid_size7_complexity0.60_0001_ReflectEnv,7,0.6,1,19,0,0.0,4
grid_size7_complexity0.60_0001_RotateEnv,7,0.6,1,19,0,0.0,4
grid_size7_complexity0.60_0001_StartGoalSwap,7,0.6,1,19,0,0.0,4
grid_size7_complexity0.60_0001_TransposeEnv,7,0.6,1,19,0,0.0,4
grid_size7_complexity0.60_0002_ReflectEnv,7,0.6,2,19,2,0.10526315789473684,5
grid_size7_complexity0.60_0002_RotateEnv,7,0.6,2,19,0,0.0,5
