grid_id,grid_size,complexity,instance_id,total_cells,errors,error_rate,multi_optimal_cells
grid_size9_complexity0.20_0000_ReflectEnv,9,0.2,0,44,0,0.0,26
grid_size9_complexity0.20_0000_RotateEnv,9,0.2,0,44,2,0.045454545454545456,26
grid_size9_complexity0.20_0000_StartGoalSwap,9,0.2,0,44,2,0.045454545454545456,26
grid_size9_complexity0.20_0000_TransposeEnv,9,0.2,0,44,6,0.13636363636363635,26
grid_size9_complexity0.20_0001_ReflectEnv,9,0.2,1,44,2,0.045454545454545456,25
grid_size9_complexity0.20_0001_RotateEnv,9,0.2,1,44,0,0.0,25
grid_size9_complexity0.20_0001_StartGoalSwap,9,0.2,1,44,0,0.0,25
grid_size9_complexity0.20_0001_TransposeEnv,9,0.2,1,44,1,0.022727272727272728,25
grid_size9_complexity0.20_0002_ReflectEnv,9,0.2,2,44,1,0.022727272727272728,24
grid_size9_complexity0.20_0002_RotateEnv,9,0.2,2,44,2,0.045454545454545456,24
grid_size9_complexity0.20_0002_StartGoalSwap,9,0.2,2,44,2,0.045454545454545456,24
grid_size9_complexity0.20_0002_TransposeEnv,9,0.2,2,44,2,0.045454545454545456,24
grid_size9_complexity0.20_0003_ReflectEnv,9,0.2,3,44,1,0.022727272727272728,22
grid_size9_complexity0.20_0003_RotateEnv,9,0.2,3,44,0,0.0,22
grid_size9_complexity0.20_0003_StartGoalSwap,9,0.2,3,44,2,0.045454545454545456,24
grid_size9_complexity0.20_0003_TransposeEnv,9,0.2,3,44,2,0.045454545454545456,22
grid_size9_complexity0.20_0004_ReflectEnv,9,0.2,4,44,1,0.022727272727272728,23
grid_size9_complexity0.20_0004_RotateEnv,9,0.2,4,44,7,0.1590909090909091,23
grid_size9_complexity0.20_0004_StartGoalSwap,9,0.2,4,44,0,0.0,23
grid_size9_complexity0.20_0004_TransposeEnv,9,0.2,4,44,2,0.045454545454545456,23
grid_size9_complexity0.20_0005_ReflectEnv,9,0.2,5,44,0,0.0,25
grid_size9_complexity0.20_0005_RotateEnv,9,0.2,5,44,2,0.045454545454545456,25
grid_size9_complexity0.20_0005_StartGoalSwap,9,0.2,5,44,0,0.0,25
grid_size9_complexity0.20_0005_TransposeEnv,9,0.2,5,44,2,0.045454545454545456,25
grid_size9_complexity0.20_0006_ReflectEnv,9,0.2,6,44,1,0.022727272727272728,25
grid_size9_complexity0.20_0006_RotateEnv,9,0.2,6,44,1,0.022727272727272728,25
grid_size9_complexity0.20_0006_StartGoalSwap,9,0.2,6,44,1,0.022727272727272728,23
grid_size9_complexity0.20_0006_TransposeEnv,9,0.2,6,44,0,0.0,25
grid_size9_complexity0.20_0007_ReflectEnv,9,0.2,7,44,2,0.045454545454545456,24
grid_size9_complexity0.20_0007_RotateEnv,9,0.2,7,44,1,0.022727272727272728,24
grid_size9_complexity0.20_0007_StartGoalSwap,9,0.2,7,44,2,0.045454545454545456,24
grid_size9_complexity0.20_0007_TransposeEnv,9,0.2,7,44,5,0.11363636363636363,24
grid_size9_complexity0.20_0008_ReflectEnv,9,0.2,8,44,6,0.13636363636363635,25
grid_size9_complexity0.20_0008_RotateEnv,9,0.2,8,44,2,0.045454545454545456,25
grid_size9_complexity0.20_0008_StartGoalSwap,9,0.2,8,44,2,0.045454545454545456,23
grid_size9_complexity0.20_0008_TransposeEnv,9,0.2,8,44,0,0.0,25
grid_size9_complexity0.20_0009_ReflectEnv,9,0.2,9,44,0,0.0,26
grid_size9_complexity0.20_0009_RotateEnv,9,0.2,9,44,3,0.06818181818181818,26
grid_size9_complexity0.20_0009_StartGoalSwap,9,0.2,9,44,2,0.045454545454545456,26
grid_size9_complexity0.20_0009_TransposeEnv,9,0.2,9,44,0,0.0,26
grid_size9_complexity0.40_0000_ReflectEnv,9,0.4,0,40,3,0.075,13
grid_size9_complexity0.40_0000_RotateEnv,9,0.4,0,40,4,0.1,13
grid_size9_complexity0.40_0000_StartGoalSwap,9,0.4,0,40,1,0.025,14
grid_size9_complexity0.40_0000_TransposeEnv,9,0.4,0,40,7,0.175,13
grid_size9_complexity0.40_0001_ReflectEnv,9,0.4,1,40,3,0.075,16
grid_size9_complexity0.40_0001_RotateEnv,9,0.4,1,40,2,0.05,16
grid_size9_complexity0.40_0001_StartGoalSwap,9,0.4,1,40,1,0.025,16
grid_size9_complexity0.40_0001_TransposeEnv,9,0.4,1,40,3,0.075,16
grid_size9_complexity0.40_0002_ReflectEnv,9,0.4,2,40,2,0.05,15
grid_size9_complexity0.40_0002_RotateEnv,9,0.4,2,40,3,0.075,15
