grid_id,grid_size,complexity,instance_id,total_cells,errors,error_rate,multi_optimal_cells
grid_size9_complexity0.40_0002_StartGoalSwap,9,0.4,2,40,4,0.1,14
grid_size9_complexity0.40_0002_TransposeEnv,9,0.4,2,40,2,0.05,15
grid_size9_complexity0.40_0003_ReflectEnv,9,0.4,3,40,6,0.15,16
grid_size9_complexity0.40_0003_RotateEnv,9,0.4,3,40,5,0.125,16
grid_size9_complexity0.40_0003_StartGoalSwap,9,0.4,3,40,2,0.05,16
grid_size9_complexity0.40_0003_TransposeEnv,9,0.4,3,40,3,0.075,16
grid_size9_complexity0.40_0004_ReflectEnv,9,0.4,4,40,2,0.05,13
grid_size9_complexity0.40_0004_RotateEnv,9,0.4,4,40,2,0.05,13
grid_size9_complexity0.40_0004_StartGoalSwap,9,0.4,4,40,5,0.125,14
grid_size9_complexity0.40_0004_TransposeEnv,9,0.4,4,40,2,0.05,13
grid_size9_complexity0.40_0005_ReflectEnv,9,0.4,5,40,1,0.025,17
grid_size9_complexity0.40_0005_RotateEnv,9,0.4,5,40,4,0.1,17
grid_size9_complexity0.40_0005_StartGoalSwap,9,0.4,5,40,1,0.025,17
grid_size9_complexity0.40_0005_TransposeEnv,9,0.4,5,40,2,0.05,17
grid_size9_complexity0.40_0006_ReflectEnv,9,0.4,6,40,3,0.075,14
grid_size9_complexity0.40_0006_RotateEnv,9,0.4,6,40,6,0.15,14
grid_size9_complexity0.40_0006_StartGoalSwap,9,0.4,6,40,3,0.075,15
grid_size9_complexity0.40_0006_TransposeEnv,9,0.4,6,40,10,0.25,14
grid_size9_complexity0.40_0007_ReflectEnv,9,0.4,7,40,5,0.125,16
grid_size9_complexity0.40_0007_RotateEnv,9,0.4,7,40,2,0.05,16
grid_size9_complexity0.40_0007_StartGoalSwap,9,0.4,7,40,3,0.075,16
grid_size9_complexity0.40_0007_TransposeEnv,9,0.4,7,40,7,0.175,16
grid_size9_complexity0.40_0008_ReflectEnv,9,0.4,8,40,3,0.075,15
grid_size9_complexity0.40_0008_RotateEnv,9,0.4,8,40,6,0.15,15
grid_size9_complexity0.40_0008_StartGoalSwap,9,0.4,8,40,3,0.075,15
grid_size9_complexity0.40_0008_TransposeEnv,9,0.4,8,40,2,0.05,15
grid_size9_complexity0.40_0009_ReflectEnv,9,0.4,9,40,6,0.15,13
grid_size9_complexity0.40_0009_RotateEnv,9,0.4,9,40,3,0.075,13
grid_size9_complexity0.40_0009_StartGoalSwap,9,0.4,9,40,1,0.025,13
grid_size9_complexity0.40_0009_TransposeEnv,9,0.4,9,40,2,0.05,13
grid_size9_complexity0.60_0000_ReflectEnv,9,0.6,0,37,9,0.24324324324324326,9
grid_size9_complexity0.60_0000_RotateEnv,9,0.6,0,37,4,0.10810810810810811,9
grid_size9_complexity0.60_0000_StartGoalSwap,9,0.6,0,37,7,0.1891891891891892,9
grid_size9_complexity0.60_0000_TransposeEnv,9,0.6,0,37,7,0.1891891891891892,9
grid_size9_complexity0.60_0001_ReflectEnv,9,0.6,1,37,4,0.10810810810810811,9
grid_size9_complexity0.60_0001_RotateEnv,9,0.6,1,37,3,0.08108108108108109,9
grid_size9_complexity0.60_0001_StartGoalSwap,9,0.6,1,37,4,0.10810810810810811,8
grid_size9_complexity0.60_0001_TransposeEnv,9,0.6,1,37,4,0.10810810810810811,9
grid_size9_complexity0.60_0002_ReflectEnv,9,0.6,2,37,4,0.10810810810810811,10
grid_size9_complexity0.60_0002_RotateEnv,9,0.6,2,37,2,0.05405405405405406,10
grid_size9_complexity0.60_0002_StartGoalSwap,9,0.6,2,37,3,0.08108108108108109,10
grid_size9_complexity0.60_0002_TransposeEnv,9,0.6,2,37,5,0.13513513513513514,10
grid_size9_complexity0.60_0003_ReflectEnv,9,0.6,3,37,3,0.08108108108108109,11
grid_size9_complexity0.60_0003_RotateEnv,9,0.6,3,37,1,0.02702702702702703,11
grid_size9_complexity0.60_0003_StartGoalSwap,9,0.6,3,37,3,0.08108108108108109,11
grid_size9_complexity0.60_0003_TransposeEnv,9,0.6,3,37,3,0.08108108108108109,11
grid_size9_complexity0.60_0004_ReflectEnv,9,0.6,4,37,6,0.16216216216216217,7
grid_size9_complexity0.60_0004_RotateEnv,9,0.6,4,37,4,0.10810810810810811,7
grid_size9_complexity0.60_0004_StartGoalSwap,9,0.6,4,37,5,0.13513513513513514,8
grid_size9_complexity0.60_0004_TransposeEnv,9,0.6,4,37,9,0.24324324324324326,7
