grid_id,grid_size,complexity,instance_id,total_cells,errors,error_rate,multi_optimal_cells
grid_size11_complexity0.40_0005_ReflectEnv,11,0.4,5,67,9,0.13432835820895522,27
grid_size11_complexity0.40_0005_RotateEnv,11,0.4,5,67,7,0.1044776119402985,27
grid_size11_complexity0.40_0005_StartGoalSwap,11,0.4,5,67,8,0.11940298507462686,27
grid_size11_complexity0.40_0005_TransposeEnv,11,0.4,5,67,9,0.13432835820895522,27
grid_size11_complexity0.40_0006_ReflectEnv,11,0.4,6,67,3,0.04477611940298507,31
grid_size11_complexity0.40_0006_RotateEnv,11,0.4,6,67,6,0.08955223880597014,31
grid_size11_complexity0.40_0006_StartGoalSwap,11,0.4,6,67,3,0.04477611940298507,31
grid_size11_complexity0.40_0006_TransposeEnv,11,0.4,6,67,5,0.07462686567164178,31
grid_size11_complexity0.40_0007_ReflectEnv,11,0.4,7,67,6,0.08955223880597014,27
grid_size11_complexity0.40_0007_RotateEnv,11,0.4,7,67,8,0.11940298507462686,27
grid_size11_complexity0.40_0007_StartGoalSwap,11,0.4,7,67,4,0.05970149253731343,28
grid_size11_complexity0.40_0007_TransposeEnv,11,0.4,7,67,4,0.05970149253731343,27
grid_size11_complexity0.40_0008_ReflectEnv,11,0.4,8,67,7,0.1044776119402985,28
grid_size11_complexity0.40_0008_RotateEnv,11,0.4,8,67,7,0.1044776119402985,28
grid_size11_complexity0.40_0008_StartGoalSwap,11,0.4,8,67,9,0.13432835820895522,30
grid_size11_complexity0.40_0008_TransposeEnv,11,0.4,8,67,8,0.11940298507462686,28
grid_size11_complexity0.40_0009_ReflectEnv,11,0.4,9,67,8,0.11940298507462686,33
grid_size11_complexity0.40_0009_RotateEnv,11,0.4,9,67,2,0.029850746268656716,33
grid_size11_complexity0.40_0009_StartGoalSwap,11,0.4,9,67,4,0.05970149253731343,33
grid_size11_complexity0.40_0009_TransposeEnv,11,0.4,9,67,2,0.029850746268656716,33
grid_size11_complexity0.60_0000_ReflectEnv,11,0.6,0,60,11,0.18333333333333332,16
grid_size11_complexity0.60_0000_RotateEnv,11,0.6,0,60,5,0.08333333333333333,16
grid_size11_complexity0.60_0000_StartGoalSwap,11,0.6,0,60,7,0.11666666666666667,16
grid_size11_complexity0.60_0000_TransposeEnv,11,0.6,0,60,1,0.016666666666666666,16
grid_size11_complexity0.60_0001_ReflectEnv,11,0.6,1,60,7,0.11666666666666667,16
grid_size11_complexity0.60_0001_RotateEnv,11,0.6,1,60,6,0.1,16
grid_size11_complexity0.60_0001_StartGoalSwap,11,0.6,1,60,5,0.08333333333333333,16
grid_size11_complexity0.60_0001_TransposeEnv,11,0.6,1,60,3,0.05,16
grid_size11_complexity0.60_0002_ReflectEnv,11,0.6,2,60,13,0.21666666666666667,18
grid_size11_complexity0.60_0002_RotateEnv,11,0.6,2,60,5,0.08333333333333333,18
grid_size11_complexity0.60_0002_StartGoalSwap,11,0.6,2,60,8,0.13333333333333333,17
grid_size11_complexity0.60_0002_TransposeEnv,11,0.6,2,60,3,0.05,18
grid_size11_complexity0.60_0003_ReflectEnv,11,0.6,3,60,14,0.23333333333333334,16
grid_size11_complexity0.60_0003_RotateEnv,11,0.6,3,60,12,0.2,16
grid_size11_complexity0.60_0003_StartGoalSwap,11,0.6,3,60,6,0.1,17
grid_size11_complexity0.60_0003_TransposeEnv,11,0.6,3,60,8,0.13333333333333333,16
grid_size11_complexity0.60_0004_ReflectEnv,11,0.6,4,60,11,0.18333333333333332,13
grid_size11_complexity0.60_0004_RotateEnv,11,0.6,4,60,5,0.08333333333333333,13
grid_size11_complexity0.60_0004_StartGoalSwap,11,0.6,4,60,16,0.26666666666666666,14
grid_size11_complexity0.60_0004_TransposeEnv,11,0.6,4,60,6,0.1,13
grid_size11_complexity0.60_0005_ReflectEnv,11,0.6,5,60,7,0.11666666666666667,18
grid_size11_complexity0.60_0005_RotateEnv,11,0.6,5,60,6,0.1,18
grid_size11_complexity0.60_0005_StartGoalSwap,11,0.6,5,60,4,0.06666666666666667,17
grid_size11_complexity0.60_0005_TransposeEnv,11,0.6,5,60,10,0.16666666666666666,18
grid_size11_complexity0.60_0006_ReflectEnv,11,0.6,6,60,4,0.06666666666666667,22
grid_size11_complexity0.60_0006_RotateEnv,11,0.6,6,60,2,0.03333333333333333,22
grid_size11_complexity0.60_0006_StartGoalSwap,11,0.6,6,60,1,0.016666666666666666,22
grid_size11_complexity0.60_0006_TransposeEnv,11,0.6,6,60,1,0.016666666666666666,22
grid_size11_complexity0.60_0007_ReflectEnv,11,0.6,7,60,2,0.03333333333333333,20
grid_size11_complexity0.60_0007_RotateEnv,11,0.6,7,60,9,0.15,20
