grid_id,grid_size,complexity,instance_id,total_cells,errors,error_rate,multi_optimal_cells
grid_size11_complexity0.00_0000,11,0.0,0,80,0,0.0,64
grid_size11_complexity0.00_0001,11,0.0,1,80,0,0.0,64
grid_size11_complexity0.00_0002,11,0.0,2,80,1,0.0125,64
grid_size11_complexity0.00_0003,11,0.0,3,80,0,0.0,64
grid_size11_complexity0.00_0004,11,0.0,4,80,0,0.0,64
grid_size11_complexity0.00_0005,11,0.0,5,80,1,0.0125,64
grid_size11_complexity0.00_0006,11,0.0,6,80,0,0.0,64
grid_size11_complexity0.00_0007,11,0.0,7,80,0,0.0,64
grid_size11_complexity0.00_0008,11,0.0,8,80,0,0.0,64
grid_size11_complexity0.00_0009,11,0.0,9,80,1,0.0125,64
grid_size11_complexity0.20_0000,11,0.2,0,73,8,0.1095890410958904,41
grid_size11_complexity0.20_0001,11,0.2,1,73,2,0.0273972602739726,45
grid_size11_complexity0.20_0002,11,0.2,2,73,6,0.0821917808219178,41
grid_size11_complexity0.20_0003,11,0.2,3,73,2,0.0273972602739726,42
grid_size11_complexity0.20_0004,11,0.2,4,73,2,0.0273972602739726,44
grid_size11_complexity0.20_0005,11,0.2,5,73,0,0.0,46
grid_size11_complexity0.20_0006,11,0.2,6,73,3,0.0410958904109589,45
grid_size11_complexity0.20_0007,11,0.2,7,73,6,0.0821917808219178,42
grid_size11_complexity0.20_0008,11,0.2,8,73,6,0.0821917808219178,42
grid_size11_complexity0.20_0009,11,0.2,9,73,4,0.0547945205479452,44
grid_size11_complexity0.40_0000,11,0.4,0,67,10,0.14925373134328357,30
grid_size11_complexity0.40_0001,11,0.4,1,67,7,0.1044776119402985,33
grid_size11_complexity0.40_0002,11,0.4,2,67,6,0.08955223880597014,31
grid_size11_complexity0.40_0003,11,0.4,3,67,15,0.22388059701492538,27
grid_size11_complexity0.40_0004,11,0.4,4,67,12,0.1791044776119403,29
grid_size11_complexity0.40_0005,11,0.4,5,67,12,0.1791044776119403,27
grid_size11_complexity0.40_0006,11,0.4,6,67,11,0.16417910447761194,31
grid_size11_complexity0.40_0007,11,0.4,7,67,3,0.04477611940298507,27
grid_size11_complexity0.40_0008,11,0.4,8,67,10,0.14925373134328357,28
grid_size11_complexity0.40_0009,11,0.4,9,67,5,0.07462686567164178,33
grid_size11_complexity0.60_0000,11,0.6,0,60,6,0.1,16
grid_size11_complexity0.60_0001,11,0.6,1,60,6,0.1,16
grid_size11_complexity0.60_0002,11,0.6,2,60,7,0.11666666666666667,18
grid_size11_complexity0.60_0003,11,0.6,3,60,10,0.16666666666666666,16
grid_size11_complexity0.60_0004,11,0.6,4,60,7,0.11666666666666667,13
grid_size11_complexity0.60_0005,11,0.6,5,60,8,0.13333333333333333,18
grid_size11_complexity0.60_0006,11,0.6,6,60,4,0.06666666666666667,22
grid_size11_complexity0.60_0007,11,0.6,7,60,6,0.1,20
grid_size11_complexity0.60_0008,11,0.6,8,60,11,0.18333333333333332,16
grid_size11_complexity0.60_0009,11,0.6,9,60,6,0.1,19
grid_size11_complexity0.80_0000,11,0.8,0,54,7,0.12962962962962962,8
grid_size11_complexity0.80_0001,11,0.8,1,54,22,0.4074074074074074,7
grid_size11_complexity0.80_0002,11,0.8,2,54,22,0.4074074074074074,9
grid_size11_complexity0.80_0003,11,0.8,3,54,12,0.2222222222222222,9
grid_size11_complexity0.80_0004,11,0.8,4,54,17,0.3148148148148148,8
grid_size11_complexity0.80_0005,11,0.8,5,54,13,0.24074074074074073,8
grid_size11_complexity0.80_0006,11,0.8,6,54,22,0.4074074074074074,6
grid_size11_complexity0.80_0007,11,0.8,7,54,9,0.16666666666666666,6
grid_size11_complexity0.80_0008,11,0.8,8,54,12,0.2222222222222222,7
grid_size11_complexity0.80_0009,11,0.8,9,54,9,0.16666666666666666,7
grid_size11_complexity1.00_0000,11,1.0,0,48,18,0.375,0
grid_size11_complexity1.00_0001,11,1.0,1,48,13,0.2708333333333333,0
grid_size11_complexity1.00_0002,11,1.0,2,48,20,0.4166666666666667,0
grid_size11_complexity1.00_0003,11,1.0,3,48,10,0.20833333333333334,0
grid_size11_complexity1.00_0004,11,1.0,4,48,17,0.3541666666666667,0
grid_size11_complexity1.00_0005,11,1.0,5,48,14,0.2916666666666667,0
grid_size11_complexity1.00_0006,11,1.0,6,48,12,0.25,0
grid_size11_complexity1.00_0007,11,1.0,7,48,23,0.4791666666666667,0
grid_size11_complexity1.00_0008,11,1.0,8,48,12,0.25,0
grid_size11_complexity1.00_0009,11,1.0,9,48,16,0.3333333333333333,0
grid_size13_complexity0.00_0000,13,0.0,0,120,0,0.0,100
grid_size13_complexity0.00_0001,13,0.0,1,120,0,0.0,100
grid_size13_complexity0.00_0002,13,0.0,2,120,0,0.0,100
grid_size13_complexity0.00_0003,13,0.0,3,120,1,0.008333333333333333,100
grid_size13_complexity0.00_0004,13,0.0,4,120,3,0.025,100
grid_size13_complexity0.00_0005,13,0.0,5,120,0,0.0,100
grid_size13_complexity0.00_0006,13,0.0,6,120,1,0.008333333333333333,100
grid_size13_complexity0.00_0007,13,0.0,7,120,1,0.008333333333333333,100
grid_size13_complexity0.00_0008,13,0.0,8,120,0,0.0,100
grid_size13_complexity0.00_0009,13,0.0,9,120,0,0.0,100
grid_size13_complexity0.20_0000,13,0.2,0,110,9,0.08181818181818182,64
grid_size13_complexity0.20_0001,13,0.2,1,110,6,0.05454545454545454,73
grid_size13_complexity0.20_0002,13,0.2,2,110,9,0.08181818181818182,72
grid_size13_complexity0.20_0003,13,0.2,3,110,14,0.12727272727272726,71
grid_size13_complexity0.20_0004,13,0.2,4,110,7,0.06363636363636363,71
grid_size13_complexity0.20_0005,13,0.2,5,110,11,0.1,74
grid_size13_complexity0.20_0006,13,0.2,6,110,14,0.12727272727272726,68
