grid_id,grid_size,complexity,instance_id,total_cells,errors,error_rate,multi_optimal_cells
grid_size13_complexity0.40_0009_StartGoalSwap,13,0.4,9,100,26,0.26,46
grid_size13_complexity0.40_0009_TransposeEnv,13,0.4,9,100,8,0.08,45
grid_size13_complexity0.60_0000_RotateEnv,13,0.6,0,90,14,0.15555555555555556,28
grid_size13_complexity0.60_0000_TransposeEnv,13,0.6,0,90,19,0.2111111111111111,28
grid_size13_complexity0.60_0001_StartGoalSwap,13,0.6,1,90,20,0.2222222222222222,27
grid_size13_complexity0.60_0001_TransposeEnv,13,0.6,1,90,17,0.18888888888888888,29
grid_size13_complexity0.60_0002_ReflectEnv,13,0.6,2,90,12,0.13333333333333333,31
grid_size13_complexity0.60_0002_RotateEnv,13,0.6,2,90,10,0.1111111111111111,31
grid_size13_complexity0.60_0002_StartGoalSwap,13,0.6,2,90,18,0.2,30
grid_size13_complexity0.60_0002_TransposeEnv,13,0.6,2,90,22,0.24444444444444444,31
grid_size13_complexity0.60_0003_ReflectEnv,13,0.6,3,90,19,0.2111111111111111,31
grid_size13_complexity0.60_0003_RotateEnv,13,0.6,3,90,18,0.2,31
grid_size13_complexity0.60_0003_StartGoalSwap,13,0.6,3,90,15,0.16666666666666666,30
grid_size13_complexity0.60_0004_RotateEnv,13,0.6,4,90,17,0.18888888888888888,29
grid_size13_complexity0.60_0005_TransposeEnv,13,0.6,5,90,10,0.1111111111111111,27
grid_size13_complexity0.60_0006_RotateEnv,13,0.6,6,90,25,0.2777777777777778,29
grid_size13_complexity0.60_0006_StartGoalSwap,13,0.6,6,90,28,0.3111111111111111,28
grid_size13_complexity0.60_0006_TransposeEnv,13,0.6,6,90,28,0.3111111111111111,29
grid_size13_complexity0.60_0007_ReflectEnv,13,0.6,7,90,19,0.2111111111111111,27
grid_size13_complexity0.60_0007_RotateEnv,13,0.6,7,90,8,0.08888888888888889,27
grid_size13_complexity0.60_0007_TransposeEnv,13,0.6,7,90,9,0.1,27
grid_size13_complexity0.60_0008_ReflectEnv,13,0.6,8,90,20,0.2222222222222222,29
grid_size13_complexity0.60_0008_RotateEnv,13,0.6,8,90,24,0.26666666666666666,29
grid_size13_complexity0.60_0008_StartGoalSwap,13,0.6,8,90,21,0.23333333333333334,27
grid_size13_complexity0.60_0009_StartGoalSwap,13,0.6,9,90,29,0.32222222222222224,27
grid_size13_complexity0.60_0009_TransposeEnv,13,0.6,9,90,29,0.32222222222222224,27
grid_size13_complexity0.80_0000_ReflectEnv,13,0.8,0,79,14,0.17721518987341772,13
grid_size13_complexity0.80_0000_RotateEnv,13,0.8,0,79,23,0.2911392405063291,13
grid_size13_complexity0.80_0000_StartGoalSwap,13,0.8,0,79,38,0.4810126582278481,13
grid_size13_complexity0.80_0000_TransposeEnv,13,0.8,0,79,24,0.3037974683544304,13
grid_size13_complexity0.80_0001_ReflectEnv,13,0.8,1,79,26,0.3291139240506329,9
grid_size13_complexity0.80_0001_RotateEnv,13,0.8,1,79,27,0.34177215189873417,9
grid_size13_complexity0.80_0002_StartGoalSwap,13,0.8,2,79,14,0.17721518987341772,11
grid_size13_complexity0.80_0002_TransposeEnv,13,0.8,2,79,13,0.16455696202531644,11
grid_size13_complexity0.80_0003_ReflectEnv,13,0.8,3,79,31,0.3924050632911392,12
grid_size13_complexity0.80_0003_RotateEnv,13,0.8,3,79,30,0.379746835443038,12
grid_size13_complexity0.80_0003_TransposeEnv,13,0.8,3,79,25,0.31645569620253167,12
grid_size13_complexity0.80_0004_ReflectEnv,13,0.8,4,79,11,0.13924050632911392,11
grid_size13_complexity0.80_0004_RotateEnv,13,0.8,4,79,19,0.24050632911392406,11
grid_size13_complexity0.80_0005_ReflectEnv,13,0.8,5,79,21,0.26582278481012656,11
grid_size13_complexity0.80_0005_RotateEnv,13,0.8,5,79,30,0.379746835443038,11
grid_size13_complexity0.80_0005_StartGoalSwap,13,0.8,5,79,22,0.27848101265822783,11
grid_size13_complexity0.80_0005_TransposeEnv,13,0.8,5,79,20,0.25316455696202533,11
grid_size13_complexity0.80_0006_StartGoalSwap,13,0.8,6,79,21,0.26582278481012656,11
grid_size13_complexity0.80_0007_ReflectEnv,13,0.8,7,79,18,0.22784810126582278,13
grid_size13_complexity0.80_0007_RotateEnv,13,0.8,7,79,25,0.31645569620253167,13
