grid_id,grid_size,complexity,instance_id,total_cells,errors,error_rate,multi_optimal_cells
grid_size13_complexity0.20_0000_TransposeEnv,13,0.2,0,110,22,0.2,64
grid_size13_complexity0.20_0001_ReflectEnv,13,0.2,1,110,8,0.07272727272727272,73
grid_size13_complexity0.20_0001_RotateEnv,13,0.2,1,110,10,0.09090909090909091,73
grid_size13_complexity0.20_0001_StartGoalSwap,13,0.2,1,110,22,0.2,67
grid_size13_complexity0.20_0001_TransposeEnv,13,0.2,1,110,8,0.07272727272727272,73
grid_size13_complexity0.20_0002_RotateEnv,13,0.2,2,110,12,0.10909090909090909,72
grid_size13_complexity0.20_0002_StartGoalSwap,13,0.2,2,110,11,0.1,72
grid_size13_complexity0.20_0003_ReflectEnv,13,0.2,3,110,12,0.10909090909090909,71
grid_size13_complexity0.20_0004_ReflectEnv,13,0.2,4,110,8,0.07272727272727272,71
grid_size13_complexity0.20_0004_StartGoalSwap,13,0.2,4,110,14,0.12727272727272726,72
grid_size13_complexity0.20_0005_ReflectEnv,13,0.2,5,110,10,0.09090909090909091,74
grid_size13_complexity0.20_0005_RotateEnv,13,0.2,5,110,12,0.10909090909090909,74
grid_size13_complexity0.20_0005_StartGoalSwap,13,0.2,5,110,12,0.10909090909090909,74
grid_size13_complexity0.20_0005_TransposeEnv,13,0.2,5,110,9,0.08181818181818182,74
grid_size13_complexity0.20_0006_RotateEnv,13,0.2,6,110,11,0.1,68
grid_size13_complexity0.20_0006_TransposeEnv,13,0.2,6,110,17,0.15454545454545454,68
grid_size13_complexity0.20_0007_ReflectEnv,13,0.2,7,110,23,0.20909090909090908,74
grid_size13_complexity0.20_0007_StartGoalSwap,13,0.2,7,110,8,0.07272727272727272,73
grid_size13_complexity0.20_0007_TransposeEnv,13,0.2,7,110,9,0.08181818181818182,74
grid_size13_complexity0.20_0008_ReflectEnv,13,0.2,8,110,11,0.1,70
grid_size13_complexity0.20_0009_ReflectEnv,13,0.2,9,110,7,0.06363636363636363,68
grid_size13_complexity0.20_0009_RotateEnv,13,0.2,9,110,17,0.15454545454545454,68
grid_size13_complexity0.20_0009_TransposeEnv,13,0.2,9,110,25,0.22727272727272727,68
grid_size13_complexity0.40_0000_ReflectEnv,13,0.4,0,100,14,0.14,50
grid_size13_complexity0.40_0001_ReflectEnv,13,0.4,1,100,23,0.23,48
grid_size13_complexity0.40_0001_RotateEnv,13,0.4,1,100,16,0.16,48
grid_size13_complexity0.40_0001_StartGoalSwap,13,0.4,1,100,16,0.16,48
grid_size13_complexity0.40_0002_RotateEnv,13,0.4,2,100,10,0.1,52
grid_size13_complexity0.40_0002_StartGoalSwap,13,0.4,2,100,12,0.12,52
grid_size13_complexity0.40_0002_TransposeEnv,13,0.4,2,100,10,0.1,52
grid_size13_complexity0.40_0003_ReflectEnv,13,0.4,3,100,13,0.13,44
grid_size13_complexity0.40_0003_RotateEnv,13,0.4,3,100,17,0.17,44
grid_size13_complexity0.40_0003_StartGoalSwap,13,0.4,3,100,15,0.15,44
grid_size13_complexity0.40_0003_TransposeEnv,13,0.4,3,100,9,0.09,44
grid_size13_complexity0.40_0004_ReflectEnv,13,0.4,4,100,17,0.17,46
grid_size13_complexity0.40_0004_StartGoalSwap,13,0.4,4,100,17,0.17,46
grid_size13_complexity0.40_0004_TransposeEnv,13,0.4,4,100,15,0.15,46
grid_size13_complexity0.40_0005_ReflectEnv,13,0.4,5,100,17,0.17,43
grid_size13_complexity0.40_0005_RotateEnv,13,0.4,5,100,26,0.26,43
grid_size13_complexity0.40_0005_TransposeEnv,13,0.4,5,100,12,0.12,43
grid_size13_complexity0.40_0006_RotateEnv,13,0.4,6,100,9,0.09,45
grid_size13_complexity0.40_0006_StartGoalSwap,13,0.4,6,100,14,0.14,45
grid_size13_complexity0.40_0007_ReflectEnv,13,0.4,7,100,13,0.13,47
grid_size13_complexity0.40_0007_StartGoalSwap,13,0.4,7,100,12,0.12,47
grid_size13_complexity0.40_0007_TransposeEnv,13,0.4,7,100,10,0.1,47
grid_size13_complexity0.40_0008_ReflectEnv,13,0.4,8,100,12,0.12,41
grid_size13_complexity0.40_0008_StartGoalSwap,13,0.4,8,100,21,0.21,40
grid_size13_complexity0.40_0008_TransposeEnv,13,0.4,8,100,18,0.18,41
grid_size13_complexity0.40_0009_ReflectEnv,13,0.4,9,100,11,0.11,45
grid_size13_complexity0.40_0009_RotateEnv,13,0.4,9,100,14,0.14,45
