grid_id,grid_size,complexity,instance_id,total_cells,errors,error_rate,multi_optimal_cells
grid_size11_complexity0.20_0008_ReflectEnv,11,0.2,8,73,4,0.0547945205479452,42
grid_size11_complexity0.20_0008_RotateEnv,11,0.2,8,73,7,0.0958904109589041,42
grid_size11_complexity0.20_0008_TransposeEnv,11,0.2,8,73,7,0.0958904109589041,42
grid_size11_complexity0.20_0009_ReflectEnv,11,0.2,9,73,7,0.0958904109589041,44
grid_size11_complexity0.20_0009_RotateEnv,11,0.2,9,73,3,0.0410958904109589,44
grid_size11_complexity0.40_0000_ReflectEnv,11,0.4,0,67,5,0.07462686567164178,30
grid_size11_complexity0.40_0000_RotateEnv,11,0.4,0,67,11,0.16417910447761194,30
grid_size11_complexity0.40_0000_StartGoalSwap,11,0.4,0,67,21,0.31343283582089554,30
grid_size11_complexity0.40_0001_ReflectEnv,11,0.4,1,67,10,0.14925373134328357,33
grid_size11_complexity0.40_0001_RotateEnv,11,0.4,1,67,12,0.1791044776119403,33
grid_size11_complexity0.40_0002_ReflectEnv,11,0.4,2,67,5,0.07462686567164178,31
grid_size11_complexity0.40_0002_StartGoalSwap,11,0.4,2,67,10,0.14925373134328357,29
grid_size11_complexity0.40_0002_TransposeEnv,11,0.4,2,67,12,0.1791044776119403,31
grid_size11_complexity0.40_0003_RotateEnv,11,0.4,3,67,10,0.14925373134328357,27
grid_size11_complexity0.40_0003_StartGoalSwap,11,0.4,3,67,8,0.11940298507462686,28
grid_size11_complexity0.40_0003_TransposeEnv,11,0.4,3,67,8,0.11940298507462686,27
grid_size11_complexity0.40_0004_ReflectEnv,11,0.4,4,67,14,0.208955223880597,29
grid_size11_complexity0.40_0004_RotateEnv,11,0.4,4,67,11,0.16417910447761194,29
grid_size11_complexity0.40_0004_TransposeEnv,11,0.4,4,67,8,0.11940298507462686,29
grid_size11_complexity0.40_0005_ReflectEnv,11,0.4,5,67,4,0.05970149253731343,27
grid_size11_complexity0.40_0005_RotateEnv,11,0.4,5,67,7,0.1044776119402985,27
grid_size11_complexity0.40_0005_StartGoalSwap,11,0.4,5,67,13,0.19402985074626866,27
grid_size11_complexity0.40_0005_TransposeEnv,11,0.4,5,67,11,0.16417910447761194,27
grid_size11_complexity0.40_0006_ReflectEnv,11,0.4,6,67,4,0.05970149253731343,31
grid_size11_complexity0.40_0006_StartGoalSwap,11,0.4,6,67,7,0.1044776119402985,31
grid_size11_complexity0.40_0006_TransposeEnv,11,0.4,6,67,4,0.05970149253731343,31
grid_size11_complexity0.40_0007_RotateEnv,11,0.4,7,67,18,0.26865671641791045,27
grid_size11_complexity0.40_0007_StartGoalSwap,11,0.4,7,67,12,0.1791044776119403,28
grid_size11_complexity0.40_0008_ReflectEnv,11,0.4,8,67,13,0.19402985074626866,28
grid_size11_complexity0.40_0008_RotateEnv,11,0.4,8,67,7,0.1044776119402985,28
grid_size11_complexity0.40_0008_StartGoalSwap,11,0.4,8,67,10,0.14925373134328357,30
grid_size11_complexity0.40_0008_TransposeEnv,11,0.4,8,67,9,0.13432835820895522,28
grid_size11_complexity0.40_0009_ReflectEnv,11,0.4,9,67,5,0.07462686567164178,33
grid_size11_complexity0.40_0009_StartGoalSwap,11,0.4,9,67,7,0.1044776119402985,33
grid_size11_complexity0.40_0009_TransposeEnv,11,0.4,9,67,5,0.07462686567164178,33
grid_size11_complexity0.60_0000_RotateEnv,11,0.6,0,60,4,0.06666666666666667,16
grid_size11_complexity0.60_0000_StartGoalSwap,11,0.6,0,60,8,0.13333333333333333,16
grid_size11_complexity0.60_0000_TransposeEnv,11,0.6,0,60,3,0.05,16
grid_size11_complexity0.60_0001_RotateEnv,11,0.6,1,60,8,0.13333333333333333,16
grid_size11_complexity0.60_0001_TransposeEnv,11,0.6,1,60,11,0.18333333333333332,16
grid_size11_complexity0.60_0002_ReflectEnv,11,0.6,2,60,8,0.13333333333333333,18
grid_size11_complexity0.60_0002_RotateEnv,11,0.6,2,60,10,0.16666666666666666,18
grid_size11_complexity0.60_0002_StartGoalSwap,11,0.6,2,60,8,0.13333333333333333,17
grid_size11_complexity0.60_0003_ReflectEnv,11,0.6,3,60,14,0.23333333333333334,16
grid_size11_complexity0.60_0003_StartGoalSwap,11,0.6,3,60,11,0.18333333333333332,17
grid_size11_complexity0.60_0003_TransposeEnv,11,0.6,3,60,8,0.13333333333333333,16
grid_size11_complexity0.60_0004_RotateEnv,11,0.6,4,60,17,0.2833333333333333,13
grid_size11_complexity0.60_0004_TransposeEnv,11,0.6,4,60,6,0.1,13
grid_size11_complexity0.60_0005_ReflectEnv,11,0.6,5,60,11,0.18333333333333332,18
grid_size11_complexity0.60_0005_RotateEnv,11,0.6,5,60,12,0.2,18
