grid_id,grid_size,complexity,instance_id,total_cells,errors,error_rate,multi_optimal_cells
grid_size11_complexity0.60_0006_ReflectEnv,11,0.6,6,60,7,0.11666666666666667,22
grid_size11_complexity0.60_0006_RotateEnv,11,0.6,6,60,13,0.21666666666666667,22
grid_size11_complexity0.60_0006_StartGoalSwap,11,0.6,6,60,11,0.18333333333333332,22
grid_size11_complexity0.60_0006_TransposeEnv,11,0.6,6,60,8,0.13333333333333333,22
grid_size11_complexity0.60_0007_ReflectEnv,11,0.6,7,60,8,0.13333333333333333,20
grid_size11_complexity0.60_0007_StartGoalSwap,11,0.6,7,60,5,0.08333333333333333,20
grid_size11_complexity0.60_0007_TransposeEnv,11,0.6,7,60,9,0.15,20
grid_size11_complexity0.60_0008_StartGoalSwap,11,0.6,8,60,18,0.3,16
grid_size11_complexity0.60_0008_TransposeEnv,11,0.6,8,60,16,0.26666666666666666,16
grid_size11_complexity0.60_0009_ReflectEnv,11,0.6,9,60,15,0.25,19
grid_size11_complexity0.60_0009_RotateEnv,11,0.6,9,60,18,0.3,19
grid_size11_complexity0.60_0009_StartGoalSwap,11,0.6,9,60,13,0.21666666666666667,19
grid_size11_complexity0.80_0000_ReflectEnv,11,0.8,0,54,11,0.2037037037037037,8
grid_size11_complexity0.80_0001_ReflectEnv,11,0.8,1,54,14,0.25925925925925924,7
grid_size11_complexity0.80_0001_RotateEnv,11,0.8,1,54,13,0.24074074074074073,7
grid_size11_complexity0.80_0001_StartGoalSwap,11,0.8,1,54,15,0.2777777777777778,7
grid_size11_complexity0.80_0001_TransposeEnv,11,0.8,1,54,21,0.3888888888888889,7
grid_size11_complexity0.80_0002_ReflectEnv,11,0.8,2,54,24,0.4444444444444444,9
grid_size11_complexity0.80_0002_RotateEnv,11,0.8,2,54,22,0.4074074074074074,9
grid_size11_complexity0.80_0002_StartGoalSwap,11,0.8,2,54,11,0.2037037037037037,9
grid_size11_complexity0.80_0002_TransposeEnv,11,0.8,2,54,23,0.42592592592592593,9
grid_size11_complexity0.80_0003_StartGoalSwap,11,0.8,3,54,12,0.2222222222222222,9
grid_size11_complexity0.80_0003_TransposeEnv,11,0.8,3,54,17,0.3148148148148148,9
grid_size11_complexity0.80_0004_ReflectEnv,11,0.8,4,54,16,0.2962962962962963,8
grid_size11_complexity0.80_0004_StartGoalSwap,11,0.8,4,54,13,0.24074074074074073,8
grid_size11_complexity0.80_0004_TransposeEnv,11,0.8,4,54,19,0.35185185185185186,8
grid_size11_complexity0.80_0005_ReflectEnv,11,0.8,5,54,15,0.2777777777777778,8
grid_size11_complexity0.80_0005_RotateEnv,11,0.8,5,54,8,0.14814814814814814,8
grid_size11_complexity0.80_0005_TransposeEnv,11,0.8,5,54,16,0.2962962962962963,8
grid_size11_complexity0.80_0006_ReflectEnv,11,0.8,6,54,19,0.35185185185185186,6
grid_size11_complexity0.80_0006_RotateEnv,11,0.8,6,54,19,0.35185185185185186,6
grid_size11_complexity0.80_0006_StartGoalSwap,11,0.8,6,54,18,0.3333333333333333,7
grid_size11_complexity0.80_0006_TransposeEnv,11,0.8,6,54,17,0.3148148148148148,6
grid_size11_complexity0.80_0007_RotateEnv,11,0.8,7,54,17,0.3148148148148148,6
grid_size11_complexity0.80_0007_StartGoalSwap,11,0.8,7,54,17,0.3148148148148148,6
grid_size11_complexity0.80_0008_ReflectEnv,11,0.8,8,54,10,0.18518518518518517,7
grid_size11_complexity0.80_0008_RotateEnv,11,0.8,8,54,7,0.12962962962962962,7
grid_size11_complexity0.80_0008_StartGoalSwap,11,0.8,8,54,12,0.2222222222222222,7
grid_size11_complexity0.80_0008_TransposeEnv,11,0.8,8,54,13,0.24074074074074073,7
grid_size11_complexity0.80_0009_ReflectEnv,11,0.8,9,54,10,0.18518518518518517,7
grid_size11_complexity0.80_0009_RotateEnv,11,0.8,9,54,11,0.2037037037037037,7
grid_size11_complexity0.80_0009_StartGoalSwap,11,0.8,9,54,6,0.1111111111111111,7
grid_size11_complexity0.80_0009_TransposeEnv,11,0.8,9,54,8,0.14814814814814814,7
grid_size11_complexity1.00_0000_ReflectEnv,11,1.0,0,48,17,0.3541666666666667,0
grid_size11_complexity1.00_0000_RotateEnv,11,1.0,0,48,19,0.3958333333333333,0
grid_size11_complexity1.00_0000_TransposeEnv,11,1.0,0,48,8,0.16666666666666666,0
grid_size11_complexity1.00_0001_ReflectEnv,11,1.0,1,48,9,0.1875,0
grid_size11_complexity1.00_0001_RotateEnv,11,1.0,1,48,10,0.20833333333333334,0
grid_size11_complexity1.00_0001_StartGoalSwap,11,1.0,1,48,13,0.2708333333333333,0
grid_size11_complexity1.00_0002_StartGoalSwap,11,1.0,2,48,9,0.1875,0
