grid_id,grid_size,complexity,instance_id,total_cells,errors,error_rate,multi_optimal_cells
grid_size11_complexity0.00_0000,11,0.0,0,80,0,0.0,64
grid_size11_complexity0.00_0001,11,0.0,1,80,1,0.0125,64
grid_size11_complexity0.00_0002,11,0.0,2,80,0,0.0,64
grid_size11_complexity0.00_0003,11,0.0,3,80,0,0.0,64
grid_size11_complexity0.00_0004,11,0.0,4,80,2,0.025,64
grid_size11_complexity0.00_0005,11,0.0,5,80,1,0.0125,64
grid_size11_complexity0.00_0006,11,0.0,6,80,0,0.0,64
grid_size11_complexity0.00_0007,11,0.0,7,80,0,0.0,64
grid_size11_complexity0.00_0008,11,0.0,8,80,0,0.0,64
grid_size11_complexity0.00_0009,11,0.0,9,80,1,0.0125,64
grid_size11_complexity0.20_0000,11,0.2,0,73,11,0.1506849315068493,41
grid_size11_complexity0.20_0001,11,0.2,1,73,0,0.0,45
grid_size11_complexity0.20_0002,11,0.2,2,73,2,0.0273972602739726,41
grid_size11_complexity0.20_0003,11,0.2,3,73,1,0.0136986301369863,42
grid_size11_complexity0.20_0004,11,0.2,4,73,3,0.0410958904109589,44
grid_size11_complexity0.20_0005,11,0.2,5,73,5,0.0684931506849315,46
grid_size11_complexity0.20_0006,11,0.2,6,73,2,0.0273972602739726,45
grid_size11_complexity0.20_0007,11,0.2,7,73,3,0.0410958904109589,42
grid_size11_complexity0.20_0008,11,0.2,8,73,5,0.0684931506849315,42
grid_size11_complexity0.20_0009,11,0.2,9,73,7,0.0958904109589041,44
grid_size11_complexity0.40_0000,11,0.4,0,67,6,0.08955223880597014,30
grid_size11_complexity0.40_0001,11,0.4,1,67,10,0.14925373134328357,33
grid_size11_complexity0.40_0002,11,0.4,2,67,9,0.13432835820895522,31
grid_size11_complexity0.40_0003,11,0.4,3,67,8,0.11940298507462686,27
grid_size11_complexity0.40_0004,11,0.4,4,67,6,0.08955223880597014,29
grid_size11_complexity0.40_0005,11,0.4,5,67,10,0.14925373134328357,27
grid_size11_complexity0.40_0006,11,0.4,6,67,2,0.029850746268656716,31
grid_size11_complexity0.40_0007,11,0.4,7,67,10,0.14925373134328357,27
grid_size11_complexity0.40_0008,11,0.4,8,67,5,0.07462686567164178,28
grid_size11_complexity0.40_0009,11,0.4,9,67,3,0.04477611940298507,33
grid_size11_complexity0.60_0000,11,0.6,0,60,3,0.05,16
grid_size11_complexity0.60_0001,11,0.6,1,60,6,0.1,16
grid_size11_complexity0.60_0002,11,0.6,2,60,3,0.05,18
grid_size11_complexity0.60_0003,11,0.6,3,60,5,0.08333333333333333,16
grid_size11_complexity0.60_0004,11,0.6,4,60,6,0.1,13
grid_size11_complexity0.60_0005,11,0.6,5,60,5,0.08333333333333333,18
grid_size11_complexity0.60_0006,11,0.6,6,60,4,0.06666666666666667,22
grid_size11_complexity0.60_0007,11,0.6,7,60,5,0.08333333333333333,20
grid_size11_complexity0.60_0008,11,0.6,8,60,6,0.1,16
grid_size11_complexity0.60_0009,11,0.6,9,60,10,0.16666666666666666,19
grid_size11_complexity0.80_0000,11,0.8,0,54,5,0.09259259259259259,8
grid_size11_complexity0.80_0001,11,0.8,1,54,15,0.2777777777777778,7
grid_size11_complexity0.80_0002,11,0.8,2,54,23,0.42592592592592593,9
grid_size11_complexity0.80_0003,11,0.8,3,54,17,0.3148148148148148,9
grid_size11_complexity0.80_0004,11,0.8,4,54,22,0.4074074074074074,8
grid_size11_complexity0.80_0005,11,0.8,5,54,5,0.09259259259259259,8
grid_size11_complexity0.80_0006,11,0.8,6,54,9,0.16666666666666666,6
grid_size11_complexity0.80_0007,11,0.8,7,54,9,0.16666666666666666,6
grid_size11_complexity0.80_0008,11,0.8,8,54,12,0.2222222222222222,7
grid_size11_complexity0.80_0009,11,0.8,9,54,4,0.07407407407407407,7
grid_size11_complexity1.00_0000,11,1.0,0,48,10,0.20833333333333334,0
grid_size11_complexity1.00_0001,11,1.0,1,48,10,0.20833333333333334,0
grid_size11_complexity1.00_0002,11,1.0,2,48,15,0.3125,0
grid_size11_complexity1.00_0003,11,1.0,3,48,10,0.20833333333333334,0
grid_size11_complexity1.00_0004,11,1.0,4,48,11,0.22916666666666666,0
grid_size11_complexity1.00_0005,11,1.0,5,48,12,0.25,0
grid_size11_complexity1.00_0006,11,1.0,6,48,6,0.125,0
grid_size11_complexity1.00_0007,11,1.0,7,48,14,0.2916666666666667,0
grid_size11_complexity1.00_0008,11,1.0,8,48,11,0.22916666666666666,0
grid_size11_complexity1.00_0009,11,1.0,9,48,14,0.2916666666666667,0
grid_size13_complexity0.00_0000,13,0.0,0,120,0,0.0,100
grid_size13_complexity0.00_0001,13,0.0,1,120,1,0.008333333333333333,100
grid_size13_complexity0.00_0002,13,0.0,2,120,0,0.0,100
grid_size13_complexity0.00_0003,13,0.0,3,120,0,0.0,100
grid_size13_complexity0.00_0004,13,0.0,4,120,4,0.03333333333333333,100
grid_size13_complexity0.00_0005,13,0.0,5,120,1,0.008333333333333333,100
grid_size13_complexity0.00_0006,13,0.0,6,120,0,0.0,100
grid_size13_complexity0.00_0007,13,0.0,7,120,1,0.008333333333333333,100
grid_size13_complexity0.00_0008,13,0.0,8,120,0,0.0,100
grid_size13_complexity0.00_0009,13,0.0,9,120,0,0.0,100
grid_size13_complexity0.20_0000,13,0.2,0,110,17,0.15454545454545454,64
grid_size13_complexity0.20_0001,13,0.2,1,110,6,0.05454545454545454,73
grid_size13_complexity0.20_0002,13,0.2,2,110,5,0.045454545454545456,72
grid_size13_complexity0.20_0003,13,0.2,3,110,5,0.045454545454545456,71
grid_size13_complexity0.20_0004,13,0.2,4,110,10,0.09090909090909091,71
grid_size13_complexity0.20_0005,13,0.2,5,110,5,0.045454545454545456,74
grid_size13_complexity0.20_0006,13,0.2,6,110,12,0.10909090909090909,68
grid_size13_complexity0.20_0007,13,0.2,7,110,2,0.01818181818181818,74
grid_size13_complexity0.20_0008,13,0.2,8,110,5,0.045454545454545456,70
grid_size13_complexity0.20_0009,13,0.2,9,110,6,0.05454545454545454,68
grid_size13_complexity0.40_0000,13,0.4,0,100,11,0.11,50
grid_size13_complexity0.40_0001,13,0.4,1,100,9,0.09,48
grid_size13_complexity0.40_0002,13,0.4,2,100,3,0.03,52
grid_size13_complexity0.40_0003,13,0.4,3,100,13,0.13,44
